商品id,商品名称,价格,商品大类,商品小类,链接,小类id,小类url
2049239,AGAPE亞加‧貝 3M防潑水專利防蹣抗菌床包式保潔墊(單人/雙人/加大),399,寢具,熱銷TOP30,https://www.etmall.com.tw/AGAPE亞加-貝-3M防潑水專利防蹣抗菌床包式保潔墊-單人-雙人-加大/i/2049239?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2153187,韓國人氣推薦 神魂麻藥枕頭(2入組),611,寢具,熱銷TOP30,https://www.etmall.com.tw/韓國人氣推薦-神魂麻藥枕頭-2入組/i/2153187?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2088135,DUYAN竹漾- 3M高效防潑水透氣雙人床包式保潔墊- 多款任選,386,寢具,熱銷TOP30,https://www.etmall.com.tw/DUYAN竹漾-3M高效防潑水透氣雙人床包式保潔墊-多款任選/i/2088135?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2139562,台灣飛狼Jack Wolfskin  蠶絲銀離子抗菌被 吸濕排濕 防蟎抗菌 蓄熱升溫 冬被,1445,寢具,熱銷TOP30,https://www.etmall.com.tw/台灣飛狼Jack-Wolfskin-蠶絲銀離子抗菌被-吸濕排濕-防蟎抗菌-蓄熱升溫-冬被/i/2139562?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
1881666,精靈工廠 1.6KG發熱羊毛被 奈米銀離子 抑菌除臭 吸濕排汗,565,寢具,熱銷TOP30,https://www.etmall.com.tw/精靈工廠-1-6KG發熱羊毛被-奈米銀離子-抑菌除臭-吸濕排汗/i/1881666?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2132187,FOCA 匈牙利100%天然水鳥羽毛絨暖冬被-MIT製造,960,寢具,熱銷TOP30,https://www.etmall.com.tw/FOCA-匈牙利100-天然水鳥羽毛絨暖冬被-MIT製造/i/2132187?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2522191,LooCa頂規純蠶絲舒眠手工冬被,4880,寢具,熱銷TOP30,https://www.etmall.com.tw/LooCa頂規純蠶絲舒眠手工冬被/i/2522191?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2537008,SOUL Bedding 天絲釋壓記憶枕(任選款式)-單顆,960,寢具,熱銷TOP30,https://www.etmall.com.tw/SOUL-Bedding-天絲釋壓記憶枕-任選款式-單顆/i/2537008?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2537007,SOUL Bedding 天絲釋壓記憶枕(任選款式)-兩入組,1536,寢具,熱銷TOP30,https://www.etmall.com.tw/SOUL-Bedding-天絲釋壓記憶枕-任選款式-兩入組/i/2537007?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2520776,LooCa天絲400織紗輕柔寢具組-雙,2880,寢具,熱銷TOP30,https://www.etmall.com.tw/LooCa天絲400織紗輕柔寢具組-雙/i/2520776?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2503635,NINO1881可水洗遠紅外線雙面魔力毯,2280,寢具,熱銷TOP30,https://www.etmall.com.tw/NINO1881可水洗遠紅外線雙面魔力毯/i/2503635?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2513142,LooCa石墨稀超科技獨立筒枕,2580,寢具,熱銷TOP30,https://www.etmall.com.tw/LooCa石墨稀超科技獨立筒枕/i/2513142?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2403195,全球熱銷舒眠雙面重力被,4880,寢具,熱銷TOP30,https://www.etmall.com.tw/全球熱銷舒眠雙面重力被/i/2403195?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2522143,NATRUALLY JOJO肩頸鬆瑜珈康健枕,1880,寢具,熱銷TOP30,https://www.etmall.com.tw/NATRUALLY-JOJO肩頸鬆瑜珈康健枕/i/2522143?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2509090,LooCa靜鄉思語天絲寢具超值組-雙,3880,寢具,熱銷TOP30,https://www.etmall.com.tw/LooCa靜鄉思語天絲寢具超值組-雙/i/2509090?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2509091,LooCa靜鄉思語天絲寢具超值組-大,4180,寢具,熱銷TOP30,https://www.etmall.com.tw/LooCa靜鄉思語天絲寢具超值組-大/i/2509091?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2522348,SOUL Bedding 天絲釋壓護頸記憶枕-單顆,1273,寢具,熱銷TOP30,https://www.etmall.com.tw/SOUL-Bedding-天絲釋壓護頸記憶枕-單顆/i/2522348?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2522346,SOUL Bedding 天絲釋壓人體工學枕-單顆,1273,寢具,熱銷TOP30,https://www.etmall.com.tw/SOUL-Bedding-天絲釋壓人體工學枕-單顆/i/2522346?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2522347,SOUL Bedding 天絲釋壓護頸記憶枕-兩入組,2288,寢具,熱銷TOP30,https://www.etmall.com.tw/SOUL-Bedding-天絲釋壓護頸記憶枕-兩入組/i/2522347?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2522345,SOUL Bedding 天絲釋壓人體工學枕-兩入組,2288,寢具,熱銷TOP30,https://www.etmall.com.tw/SOUL-Bedding-天絲釋壓人體工學枕-兩入組/i/2522345?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2505736,NINO1881特級緹花100%純蠶絲被,3880,寢具,熱銷TOP30,https://www.etmall.com.tw/NINO1881特級緹花100-純蠶絲被/i/2505736?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2492276,LooCa親水記憶棉枕下殺組-勁,790,寢具,熱銷TOP30,https://www.etmall.com.tw/LooCa親水記憶棉枕下殺組-勁/i/2492276?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
