商品id,标题,价格,计量单位,销量,封面图,生产商,商品链接,商家店铺链接
581771205949,现货批发防水保温袋野餐包定制 牛津布手提冰袋便当袋午餐包定做,16,件,25327,http://cbu01.alicdn.com/img/ibank/2019/712/312/11616213217_95913979.search.jpg,深圳市兴百业手袋有限公司,https://detail.1688.com/offer/581771205949.html?resourceId=589691&udsPoolId=699122,https://shop2p345135841p1.1688.com
554417767411,创意镂空硅胶花朵形防滑 防烫 隔热茶圆形杯垫 淘宝杯子赠品 厂家,0.05,件,665194,http://cbu01.alicdn.com/img/ibank/2017/051/914/4373419150_1188536791.search.jpg,义乌市卓海日用品有限公司,https://detail.1688.com/offer/554417767411.html?resourceId=589691&udsPoolId=699122,https://shop1463848745937.1688.com
529260753234,食品级LDPE冰粒可代替冰反复使用 野餐食物保鲜降温冰块冰球6个装,0.95,套,646,http://cbu01.alicdn.com/img/ibank/2016/979/137/2900731979_966726628.search.jpg,义乌市俊曼电子商务有限公司,https://detail.1688.com/offer/529260753234.html?resourceId=589691&udsPoolId=699122,https://junmanbaihuo.1688.com
582788878624,现货定做 收纳包冰包双层 保温包母乳保鲜包背奶包奶瓶包,30,件,341,http://cbu01.alicdn.com/img/ibank/2019/490/426/11306624094_1683933144.search.jpg,深圳市达兴手袋有限公司,https://detail.1688.com/offer/582788878624.html?resourceId=589691&udsPoolId=699122,https://szzjs005.1688.com
589346142056,Napkin Holders餐巾架 玫瑰花餐巾架 卷花餐巾工具架摆盘家用聚餐,1,套,10585,http://cbu01.alicdn.com/img/ibank/2019/195/010/10583010591_1317844624.search.jpg,温州宏远工艺品有限公司,https://detail.1688.com/offer/589346142056.html?resourceId=589691&udsPoolId=699122,https://wenzhouhongyuan.1688.com
537030324952,不锈钢尖尾水果叉小勺子 甜品叉 不锈钢小叉子 勺子 餐具直销赠品,0.11,支,42663,http://cbu01.alicdn.com/img/ibank/2017/695/496/4362694596_243598308.search.jpg,义乌市超奇日用百货有限公司,https://detail.1688.com/offer/537030324952.html?resourceId=589691&udsPoolId=699122,https://zjywzzj.1688.com
572602464945,TV热销拉伸硅胶保鲜盖六6件套万能碗盖密封冰箱蔬菜保鲜膜,4,套,14,http://cbu01.alicdn.com/img/ibank/2018/947/055/9187550749_992101795.search.jpg,瑞安市汇达工艺品商行,https://detail.1688.com/offer/572602464945.html?resourceId=589691&udsPoolId=699122,https://shop3407b85o7o043.1688.com
556609586427,bentoy棒棒圆形鼠标垫 可爱女孩隔热垫 少女皮革游戏鼠标垫QT3160,6.86,件,382,http://cbu01.alicdn.com/img/ibank/2017/187/007/4514700781_430440674.search.jpg,北京焕文科技开发中心,https://detail.1688.com/offer/556609586427.html?resourceId=589691&udsPoolId=699122,https://buybuybuy.1688.com
527890551601,小麦秸秆筷子勺子 叉子便携餐具三件套 户外儿童旅行餐具套装,0.8,盒,1583,http://cbu01.alicdn.com/img/ibank/2019/024/827/12416728420_1903426593.search.jpg,义乌市暖宏日用品有限公司,https://detail.1688.com/offer/527890551601.html?resourceId=589691&udsPoolId=699122,https://1688nh.1688.com
583240750440,韩版户外保温袋保温便当包手提便捷饭盒包带饭袋子学生手提包加厚,5.2,个,669,http://cbu01.alicdn.com/img/ibank/2018/791/406/9909604197_2017529521.search.jpg,义乌市格轩电子商务商行,https://detail.1688.com/offer/583240750440.html?resourceId=589691&udsPoolId=699122,https://15gexuan.1688.com
37448414819,T 加厚手提包便当包 小鱼保温包 户外野餐保温保冷便携冰包批发,1.8,个,8159,http://cbu01.alicdn.com/img/ibank/2019/307/545/10556545703_1299580033.search.jpg,义乌市仁畅电子商务有限公司,https://detail.1688.com/offer/37448414819.html?resourceId=589691&udsPoolId=699122,https://ywrcsh.1688.com
554788150942,111缤纷果冻色水果造型杯垫硅胶杯子垫 创意防滑隔热垫茶杯垫,0.2,个,49048,http://cbu01.alicdn.com/img/ibank/2017/590/612/4393216095_2044270125.search.jpg,义乌市方寸电子商务商行,https://detail.1688.com/offer/554788150942.html?resourceId=589691&udsPoolId=699122,https://shop1352393865777.1688.com
593202251293,定制食品单格餐盒生鲜食品1000g吸塑餐盒一次性打包盒带盖外卖盒,304,件,0,http://cbu01.alicdn.com/img/ibank/2019/084/119/11839911480_1526122479.search.jpg,广州市健新塑料制品有限公司,https://detail.1688.com/offer/593202251293.html?resourceId=589691&udsPoolId=699122,https://shop1440146629046.1688.com
534063638852,0281小清新时尚保温包帆布手提保温袋便当包饭盒袋带饭袋子大号,3.2,个,4079,http://cbu01.alicdn.com/img/ibank/2018/519/106/9598601915_825501147.search.jpg,义乌市俏汇家居用品有限公司,https://detail.1688.com/offer/534063638852.html?resourceId=589691&udsPoolId=699122,https://qiaohuijiaju.1688.com
583513713451,批发水洗牛皮纸2019新款便当包日式饭盒袋女式手提午餐包便當袋,39,件,4,http://cbu01.alicdn.com/img/ibank/2019/926/636/11165636629_35991303.search.jpg,深圳市龙岗区卡奇米儿皮具商行,https://detail.1688.com/offer/583513713451.html?resourceId=589691&udsPoolId=699122,https://camil168ysl.1688.com
